"text";"section";"header";"div";"p";"s";"id";"p_comp";"p_value";"expanded";"context"
"p = .08 ";"results";"Electrophysiological data";13;6;2;"0956797620954815";"=";0,08;"Thus, although the N1pc and PCN are typically considered to reflect-at least to some extentfunctionally independent processes (which, for instance, reveal differential responses to target relocation), the -2 -1.5 -1 -0.5 0 0.5 1 1.5 2 -2 -1.5 -1 -0.5 0 0.5 1 1.5 2 -2 -1.5 -1 -0.5 0 0.5 1 1.5 2 a Learning Relocation Phase b Repeated Nonrepeated Repeated Nonrepeated Repeated Nonrepeated c e f d -2 -1 0 1 2 3 4 -3 -2 -1 0 1 2 3 Nonrepeated Context r = .45, p = .08 -1 0 1 2 3 4 5 -4 -3 -2 -1 0 1 2 Repeated Context r = -.84, p < .001 -7 -6 -5 -4 -3 -2 -1 0 -4 -3 -2 -1 0 1 2 Repeated Context r = .77, p < .001 Learning N1pc (µV) Learning Relocation Phase Learning Relocation Phase Learning N1pc (µV) Learning N1pc (µV) Relocation N1pc (µV) N1pc (µV) Relocation N1pc (µV) Learning PCN (µV) PCN (µV) CDA (µV) Fig.";"An additional correlational analysis revealed that for repeated displays, the negative amplitude deflection during learning in the N1pc was predictive of the strength of the negativity in the subsequent PCN (r = .77, p < .001; see Fig. 5f): That is, the cuing effect in the PCN scaled with the corresponding difference in the earlier N1pc component. Thus, although the N1pc and PCN are typically considered to reflect-at least to some extentfunctionally independent processes (which, for instance, reveal differential responses to target relocation), the -2 -1.5 -1 -0.5 0 0.5 1 1.5 2 -2 -1.5 -1 -0.5 0 0.5 1 1.5 2 -2 -1.5 -1 -0.5 0 0.5 1 1.5 2 a Learning Relocation Phase b Repeated Nonrepeated Repeated Nonrepeated Repeated Nonrepeated c e f d -2 -1 0 1 2 3 4 -3 -2 -1 0 1 2 3 Nonrepeated Context r = .45, p = .08 -1 0 1 2 3 4 5 -4 -3 -2 -1 0 1 2 Repeated Context r = -.84, p < .001 -7 -6 -5 -4 -3 -2 -1 0 -4 -3 -2 -1 0 1 2 Repeated Context r = .77, p < .001 Learning N1pc (µV) Learning Relocation Phase Learning Relocation Phase Learning N1pc (µV) Learning N1pc (µV) Relocation N1pc (µV) N1pc (µV) Relocation N1pc (µV) Learning PCN (µV) PCN (µV) CDA (µV) Fig. 5."
"p > .6";"results";"Recognition test";14;1;1;"0956797620954815";">";0,6;"In the recognition test, conducted after the search task, there was no difference between the rates of hits (correct recognition of repeated displays as repeated: 46.1%) and false alarms (erroneous recognition of nonrepeated displays as repeated: 48.4%), t(15) = -0.39, p > .6, Cohen's d = -0.2.";"In the recognition test, conducted after the search task, there was no difference between the rates of hits (correct recognition of repeated displays as repeated: 46.1%) and false alarms (erroneous recognition of nonrepeated displays as repeated: 48.4%), t(15) = -0.39, p > .6, Cohen's d = -0.2. There was, thus, no evidence of explicit context memory in the current experiment, consistent with previous findings (e.g., Chun & Jiang, 1998)."
"p = .08";"method";"Questionnaires";6;2;3;"0956797620955209";"=";0,08;"We note that in the original study, the interaction between face type and illness recency on reaction time was statistically significant (α = .05) when the categorical measure was used (p = .003) but not when the continuous measure was used (p = .08).";"The average of these four scores was calculated. We note that in the original study, the interaction between face type and illness recency on reaction time was statistically significant (α = .05) when the categorical measure was used (p = .003) but not when the continuous measure was used (p = .08). However, the simple effect of relative attention toward disfigured faces was statistically significant for analyses using both the categorical and continuous measures (ps = .001 and .01, respectively, with relative attention estimated for participants 1 SD above the mean of the continuous illness-recency measure)."
"p = .173";"results";"Results";9;2;3;"0956797620955209";"=";0,173;"The main effect of illness recency did not meet our preregistered threshold (p < .025)-recently ill: M = 661 ms, SD = 197; not recently ill: M = 626 ms, SD = 153, F(1, 400) = 4.23, η p 2 = .010, 90% CI = [.000, .039], p = .040-nor did the interaction between illness recency and face type (disfigured vs. typical), F(1, 400) = 1.87, η p 2 = .005, 90% CI = [.000, .027], p = .173.";"1). The main effect of illness recency did not meet our preregistered threshold (p < .025)-recently ill: M = 661 ms, SD = 197; not recently ill: M = 626 ms, SD = 153, F(1, 400) = 4.23, η p 2 = .010, 90% CI = [.000, .039], p = .040-nor did the interaction between illness recency and face type (disfigured vs. typical), F(1, 400) = 1.87, η p 2 = .005, 90% CI = [.000, .027], p = .173. Whereas the original study detected attentional bias toward disfigured faces only for recently ill participants, we detected this same attentional bias for participants who were recently ill (M = 15.71 ms, 95% CI = [4.63, 26.79], p = .006) and for participants who were not recently ill (M = 7.51 ms, 95% CI = [1.19, 13.83], p = .02)."
"p = .691";"results";"Results";9;2;5;"0956797620955209";"=";0,691;"We also did not detect an interaction between the continuous measure of illness recency and attentional biases toward disfigured relative to typical faces, F(1, 400) = 0.16, η p 2 < .001, 90% CI = [0.000, 0.013], p = .691, and further, we did not detect a main effect of the continuous measure on response latencies, F(1, 400) = 1.06, η p 2 = .003, 90% CI = [.000, .022], p = .303.";"Whereas the original study detected attentional bias toward disfigured faces only for recently ill participants, we detected this same attentional bias for participants who were recently ill (M = 15.71 ms, 95% CI = [4.63, 26.79], p = .006) and for participants who were not recently ill (M = 7.51 ms, 95% CI = [1.19, 13.83], p = .02). Whereas the original study detected attentional bias toward disfigured faces only for recently ill participants, we detected this same attentional bias for participants who were recently ill (M = 15.71 ms, 95% CI = [4.63, 26.79], p = .006) and for participants who were not recently ill (M = 7.51 ms, 95% CI = [1.19, 13.83], p = .02). We also did not detect an interaction between the continuous measure of illness recency and attentional biases toward disfigured relative to typical faces, F(1, 400) = 0.16, η p 2 < .001, 90% CI = [0.000, 0.013], p = .691, and further, we did not detect a main effect of the continuous measure on response latencies, F(1, 400) = 1.06, η p 2 = .003, 90% CI = [.000, .022], p = .303. We also did not detect an interaction between the continuous measure of illness recency and attentional biases toward disfigured relative to typical faces, F(1, 400) = 0.16, η p 2 < .001, 90% CI = [0.000, 0.013], p = .691, and further, we did not detect a main effect of the continuous measure on response latencies, F(1, 400) = 1.06, η p 2 = .003, 90% CI = [.000, .022], p = .303."
"p = .358";"results";"Results";9;4;2;"0956797620955209";"=";0,358;"Relying on the categorical approach, and again using the preregistered critical p value of .025, we detected a relation between illness recency and perceived infectability, r = .16, 95% CI = [.05, .26], p = .006, but not between illness recency and germ aversion, r = .11, 95% CI = [.01, .22], p = .037; sensitivity to pathogen disgust, r = .12, 95% CI = [.01, .23], p = .038; or disgust ratings of the images from the Curtis data set, r = .05, 95% CI = [-.06, .16], p = .358.";"We next examined relations between illness recency and the self-report measures. Relying on the categorical approach, and again using the preregistered critical p value of .025, we detected a relation between illness recency and perceived infectability, r = .16, 95% CI = [.05, .26], p = .006, but not between illness recency and germ aversion, r = .11, 95% CI = [.01, .22], p = .037; sensitivity to pathogen disgust, r = .12, 95% CI = [.01, .23], p = .038; or disgust ratings of the images from the Curtis data set, r = .05, 95% CI = [-.06, .16], p = .358. Results were similar using the continuous approach; we detected a relation between illness recency and perceived infectability, r = .26, 95% CI = [.17, .35], p < .001, but not germ aversion, r = .08, 95% CI = [-.02, .18], p = .127; sensitivity to pathogen disgust, r = .09, 95% CI = [-.00, .19], p = .062; or disgust ratings of images from the Curtis data set, r = .10, 95% CI = [.00, .18], p = .047."
"p = .127";"results";"Results";9;4;3;"0956797620955209";"=";0,127;"Results were similar using the continuous approach; we detected a relation between illness recency and perceived infectability, r = .26, 95% CI = [.17, .35], p < .001, but not germ aversion, r = .08, 95% CI = [-.02, .18], p = .127; sensitivity to pathogen disgust, r = .09, 95% CI = [-.00, .19], p = .062; or disgust ratings of images from the Curtis data set, r = .10, 95% CI = [.00, .18], p = .047.";"Relying on the categorical approach, and again using the preregistered critical p value of .025, we detected a relation between illness recency and perceived infectability, r = .16, 95% CI = [.05, .26], p = .006, but not between illness recency and germ aversion, r = .11, 95% CI = [.01, .22], p = .037; sensitivity to pathogen disgust, r = .12, 95% CI = [.01, .23], p = .038; or disgust ratings of the images from the Curtis data set, r = .05, 95% CI = [-.06, .16], p = .358. Relying on the categorical approach, and again using the preregistered critical p value of .025, we detected a relation between illness recency and perceived infectability, r = .16, 95% CI = [.05, .26], p = .006, but not between illness recency and germ aversion, r = .11, 95% CI = [.01, .22], p = .037; sensitivity to pathogen disgust, r = .12, 95% CI = [.01, .23], p = .038; or disgust ratings of the images from the Curtis data set, r = .05, 95% CI = [-.06, .16], p = .358. Results were similar using the continuous approach; we detected a relation between illness recency and perceived infectability, r = .26, 95% CI = [.17, .35], p < .001, but not germ aversion, r = .08, 95% CI = [-.02, .18], p = .127; sensitivity to pathogen disgust, r = .09, 95% CI = [-.00, .19], p = .062; or disgust ratings of images from the Curtis data set, r = .10, 95% CI = [.00, .18], p = .047. Results were similar using the continuous approach; we detected a relation between illness recency and perceived infectability, r = .26, 95% CI = [.17, .35], p < .001, but not germ aversion, r = .08, 95% CI = [-.02, .18], p = .127; sensitivity to pathogen disgust, r = .09, 95% CI = [-.00, .19], p = .062; or disgust ratings of images from the Curtis data set, r = .10, 95% CI = [.00, .18], p = .047. We also did not detect relations between illness recency and the six HEXACO factors (all ps > .07; see the Supplemental Material for full results, including alternative approaches to analyzing dot-probe data). We also did not detect relations between illness recency and the six HEXACO factors (all ps > .07; see the Supplemental Material for full results, including alternative approaches to analyzing dot-probe data)."
"p = .521";"results";"Prosocial behavior at first donation";8;2;1;"0956797620957625";"=";0,521;"A control model additionally revealed a main effect of gender on first donations, χ 2 (1) = 7.87, p = .005, which did not interact with age, χ 2 (2) = 1.30, p = .521.";"A control model additionally revealed a main effect of gender on first donations, χ 2 (1) = 7.87, p = .005, which did not interact with age, χ 2 (2) = 1.30, p = .521. Contrasts suggest that this was because female participants donated larger amounts than male participants (female -male: contrast = 5.66, SE = 1.52, p Bonf < .001)."
"p = .080 ";"results";"Prosocial-influence manipulation checks";9;10;1;"0956797620957625";"=";0,08;"The effect of age was marginally modulated by the direction of influence, χ 2 (2) = 5.04, p = .080 (Fig. 5, top panel): Under prosocial influence, influence probability was higher for young adolescents than for adults (young adolescents -adults: contrast = 1.05, SE = 0.27, p Bonf < .001; for all contrasts, see Table S4a in the Supplemental Material) and marginally higher than for midadolescents (young adolescents -midadolescents: contrast = 0.65, SE = 0.25, p Bonf = .061), whereas this was not the case under selfish influence, where influence probability did not differ between age groups (all p Bonf s > .110).";"The effect of age was marginally modulated by the direction of influence, χ 2 (2) = 5.04, p = .080 (Fig. 5, top panel): Under prosocial influence, influence probability was higher for young adolescents than for adults (young adolescents -adults: contrast = 1.05, SE = 0.27, p Bonf < .001; for all contrasts, see Table S4a in the Supplemental Material) and marginally higher than for midadolescents (young adolescents -midadolescents: contrast = 0.65, SE = 0.25, p Bonf = .061), whereas this was not the case under selfish influence, where influence probability did not differ between age groups (all p Bonf s > .110). The interaction between age and direction was significant when the inverse of age was taken as a continuous predictor, χ 2 (1) = 3.95, p = .047 (Fig. 5, bottom panel)."
"p < .10";"results";"Adults";11;1;8;"0956797620957625";"<";0,1;"Symbols indicate significant and marginally significant differences between groups ( † p < .10, *p < .05, ***p < .001, Bonferroni corrected).";"Within each age group, the black squares represent the fixed-effects estimates of influence probability from the trial-level generalized (logistic) linear mixed model, and error bars show the corresponding 95% confidence intervals. Symbols indicate significant and marginally significant differences between groups ( † p < .10, *p < .05, ***p < .001, Bonferroni corrected). For statistics of all contrasts, see Tables S4a and S4b in the Supplemental Material available online."
"p = .521";"results";"Adults";11;5;4;"0956797620957625";"=";0,521;"On the other hand, the model showed no main effect of age on influence magnitude, χ 2 (2) = 1.30, p = .521.";"A linear mixed model showed a main effect of source, χ 2 (2) = 6.40, p = .041, suggesting that, as for influence probability, influence magnitude was adapted more to other people than to computers (teenagers -computer: contrast = 0.86, SE = 0.19, p Bonf < .001; adults -computer: contrast = 0.64, SE = 0.15, p Bonf < .001; for all contrasts, see Table S7 in the Supplemental Material). On the other hand, the model showed no main effect of age on influence magnitude, χ 2 (2) = 1.30, p = .521. Instead, it showed that age (and direction of influence) modulated the extent to which it affected subsequent adjustments (in a three-way interaction among delta, age group, and direction), χ 2 (2) = 16.56, p < .001 (Fig."
"p = .055";"results";"Adults";11;5;11;"0956797620957625";"=";0,055;"The model also revealed a marginal three-way interaction among age group, direction, and source, χ 2 (4) = 9.26, p = .055, because of adults' higher susceptibility to being influenced by a computer under influence, relative to other age groups.";"Moreover, contrasts comparing the slopes between age groups showed that, under selfish influence, slopes were smallest for midadolescents, relative to either of the other two age groups (young adolescents -midadolescents: slope = 0.07, SE = 0.03, p Bonf = .042; midadolescentsadults: slope = -0.10, SE = 0.03, p Bonf = .008; for other contrasts, see Table S8 in the Supplemental Material), whereas slopes did not differ between age groups under prosocial influence (p Bonf s = 1). The model also revealed a marginal three-way interaction among age group, direction, and source, χ 2 (4) = 9.26, p = .055, because of adults' higher susceptibility to being influenced by a computer under influence, relative to other age groups. However, this effect broke down, χ 2 (4) = 4.27, p = .370, when we removed extreme values (< 1% of the data) from the model and thus will not be discussed further."
"p = .370";"results";"Adults";11;5;12;"0956797620957625";"=";0,37;"However, this effect broke down, χ 2 (4) = 4.27, p = .370, when we removed extreme values (< 1% of the data) from the model and thus will not be discussed further.";"The model also revealed a marginal three-way interaction among age group, direction, and source, χ 2 (4) = 9.26, p = .055, because of adults' higher susceptibility to being influenced by a computer under influence, relative to other age groups. However, this effect broke down, χ 2 (4) = 4.27, p = .370, when we removed extreme values (< 1% of the data) from the model and thus will not be discussed further. Similar effects were observed when age was used as a continuous variable."
"p < .10";"results";"Mid-Adolescents";12;1;7;"0956797620957625";"<";0,1;"Symbols indicate significant and marginally significant differences between and within groups ( † p < .10, *p < .05, ***p < .001, Bonferroni corrected).";"Error bars are the corresponding 95% confidence intervals. Symbols indicate significant and marginally significant differences between and within groups ( † p < .10, *p < .05, ***p < .001, Bonferroni corrected). For statistics of all contrasts, see Tables S5a and S5b in the Supplemental Material available online."
"p = .947";"results";"Mid-Adolescents";12;1;16;"0956797620957625";"=";0,947;"As for the categorical analysis of age, there was no linear effect of age on influence magnitude, χ 2 (1) = 0, p = .947, but there was a three-way interaction among delta, direction of influence, and age (both linear and quadratic components of age), linear: χ 2 (1) = 8.74, p = .003; quadratic: χ 2 (1) = 5.49, p = .019.";"For statistics of all trend contrasts, see Table S6 in the Supplemental Material. from the norms (i.e., the Δ) predicted increased magnitude of donation adjustment (estimate = 0.85, SE = 0.14, p < .001). As for the categorical analysis of age, there was no linear effect of age on influence magnitude, χ 2 (1) = 0, p = .947, but there was a three-way interaction among delta, direction of influence, and age (both linear and quadratic components of age), linear: χ 2 (1) = 8.74, p = .003; quadratic: χ 2 (1) = 5.49, p = .019. Post hoc analyses suggested that the linear but not quadratic component of age marginally interacted with deltas under prosocial influence, χ 2 (1) = 3.80, p = .051: The linear component of age marginally decreased the effect of deltas on change in donations under prosocial influence (slope = -20.62, SE = 10.58, p = .053), whereas it increased it under selfish influence (slope = 44.22, SE = 18.70, p = .019), hence the interaction."
"p = .051";"results";"Mid-Adolescents";12;1;17;"0956797620957625";"=";0,051;"Post hoc analyses suggested that the linear but not quadratic component of age marginally interacted with deltas under prosocial influence, χ 2 (1) = 3.80, p = .051: The linear component of age marginally decreased the effect of deltas on change in donations under prosocial influence (slope = -20.62, SE = 10.58, p = .053), whereas it increased it under selfish influence (slope = 44.22, SE = 18.70, p = .019), hence the interaction.";"As for the categorical analysis of age, there was no linear effect of age on influence magnitude, χ 2 (1) = 0, p = .947, but there was a three-way interaction among delta, direction of influence, and age (both linear and quadratic components of age), linear: χ 2 (1) = 8.74, p = .003; quadratic: χ 2 (1) = 5.49, p = .019. As for the categorical analysis of age, there was no linear effect of age on influence magnitude, χ 2 (1) = 0, p = .947, but there was a three-way interaction among delta, direction of influence, and age (both linear and quadratic components of age), linear: χ 2 (1) = 8.74, p = .003; quadratic: χ 2 (1) = 5.49, p = .019. Post hoc analyses suggested that the linear but not quadratic component of age marginally interacted with deltas under prosocial influence, χ 2 (1) = 3.80, p = .051: The linear component of age marginally decreased the effect of deltas on change in donations under prosocial influence (slope = -20.62, SE = 10.58, p = .053), whereas it increased it under selfish influence (slope = 44.22, SE = 18.70, p = .019), hence the interaction. Post hoc analyses suggested that the linear but not quadratic component of age marginally interacted with deltas under prosocial influence, χ 2 (1) = 3.80, p = .051: The linear component of age marginally decreased the effect of deltas on change in donations under prosocial influence (slope = -20.62, SE = 10.58, p = .053), whereas it increased it under selfish influence (slope = 44.22, SE = 18.70, p = .019), hence the interaction. On the other hand, the quadratic component of age was marginally associated with influence magnitude under selfish influence (slope = 32.96, SE = 18.21, p = .072) but not under prosocial influence (slope = -1.11, SE = 10.60, p = .917). On the other hand, the quadratic component of age was marginally associated with influence magnitude under selfish influence (slope = 32.96, SE = 18.21, p = .072) but not under prosocial influence (slope = -1.11, SE = 10.60, p = .917)."
"p = .072";"results";"Mid-Adolescents";12;1;18;"0956797620957625";"=";0,072;"On the other hand, the quadratic component of age was marginally associated with influence magnitude under selfish influence (slope = 32.96, SE = 18.21, p = .072) but not under prosocial influence (slope = -1.11, SE = 10.60, p = .917).";"Post hoc analyses suggested that the linear but not quadratic component of age marginally interacted with deltas under prosocial influence, χ 2 (1) = 3.80, p = .051: The linear component of age marginally decreased the effect of deltas on change in donations under prosocial influence (slope = -20.62, SE = 10.58, p = .053), whereas it increased it under selfish influence (slope = 44.22, SE = 18.70, p = .019), hence the interaction. Post hoc analyses suggested that the linear but not quadratic component of age marginally interacted with deltas under prosocial influence, χ 2 (1) = 3.80, p = .051: The linear component of age marginally decreased the effect of deltas on change in donations under prosocial influence (slope = -20.62, SE = 10.58, p = .053), whereas it increased it under selfish influence (slope = 44.22, SE = 18.70, p = .019), hence the interaction. On the other hand, the quadratic component of age was marginally associated with influence magnitude under selfish influence (slope = 32.96, SE = 18.21, p = .072) but not under prosocial influence (slope = -1.11, SE = 10.60, p = .917). On the other hand, the quadratic component of age was marginally associated with influence magnitude under selfish influence (slope = 32.96, SE = 18.21, p = .072) but not under prosocial influence (slope = -1.11, SE = 10.60, p = .917)."
"p < .10";"discussion";"Discussion";13;3;8;"0956797620957625";"<";0,1;"Symbols indicate significant and marginally significant differences between groups (pink) and within groups (black; † p < .10, *p < .05, **p < .01, ***p < .001, Bonferroni corrected).";"Error bars are the corresponding 95% confidence intervals. Symbols indicate significant and marginally significant differences between groups (pink) and within groups (black; † p < .10, *p < .05, **p < .01, ***p < .001, Bonferroni corrected). For statistics of all contrasts, see Table S8 in the Supplemental Material available online. in social influence that was not explained by nonsocial influence, in that participants were more influenced by other people than by the computer."
"p = .10";"method";"Stimuli.";5;2;5;"0956797620958638";"=";0,1;"There was no significant difference between the familiarity ratings of the threeletter target (real) words (M = 4.15, SD = 0.28) and the five-letter words (M = 4.25, SD = 0.20), t(39) = -1.71, p = .10.";"The final list contained 40 word-pseudoword pairs. There was no significant difference between the familiarity ratings of the threeletter target (real) words (M = 4.15, SD = 0.28) and the five-letter words (M = 4.25, SD = 0.20), t(39) = -1.71, p = .10. These target stimuli subtended a visual angle of 1.11° to 1.61° for height and 2.21° to 4.82° for width from a viewing distance of 57 cm."
"p = .36";"results";"Results";7;5;5;"0956797620958638";"=";0,36;"A significant length effect was present for pseudowords, with faster response times for three-letter strings compared with five-letter strings, t(29) = -6.63, p < .001, but no length effect was found for real words, t(29) = -0.93, p = .36.";"The interaction between familiarity and length was also significant, F(1, 29) = 28.83, p < .001, η p 2 = .50, OP = 1.00. A significant length effect was present for pseudowords, with faster response times for three-letter strings compared with five-letter strings, t(29) = -6.63, p < .001, but no length effect was found for real words, t(29) = -0.93, p = .36."
"p = .12";"results";"Results";10;2;2;"0956797620958638";"=";0,12;"For relative changes in pupil size, we obtained a main effect of word familiarity, F(1, 19) = 4.80, p = .04, η p 2 = .20, OP = .55 (pseudowords: M = 5.28%, SD = 4.34; real words: M = 4.13%, SD = 3.00), but not for length, F(1, 19) = 2.67, p = .12, η p 2 = .12, OP = .34 (five-letter strings: M = 4.97%, SD = 3.89; three-letter strings: M = 4.44%, SD = 3.35).";"Mean relative changes in pupil size. For relative changes in pupil size, we obtained a main effect of word familiarity, F(1, 19) = 4.80, p = .04, η p 2 = .20, OP = .55 (pseudowords: M = 5.28%, SD = 4.34; real words: M = 4.13%, SD = 3.00), but not for length, F(1, 19) = 2.67, p = .12, η p 2 = .12, OP = .34 (five-letter strings: M = 4.97%, SD = 3.89; three-letter strings: M = 4.44%, SD = 3.35). We also confirmed the predicted familiarity-by-length interaction, F(1, 19) = 10.57, p = .004, η p 2 = .36, OP = .87, indicating a length effect for pseudowords (five-letter strings: M = 5.93%, SD = 5.06; three-letter strings: M = 4.62%, SD = 3.90), t(19) = -2.48, p = .02, but not for real words (five-letter strings: M = 4.01%, SD = 3.08; three-letter strings: M = 4.26%, SD = 2.98), t(19) = 1.13, p = .27."
"p = .27";"results";"Results";10;2;3;"0956797620958638";"=";0,27;"We also confirmed the predicted familiarity-by-length interaction, F(1, 19) = 10.57, p = .004, η p 2 = .36, OP = .87, indicating a length effect for pseudowords (five-letter strings: M = 5.93%, SD = 5.06; three-letter strings: M = 4.62%, SD = 3.90), t(19) = -2.48, p = .02, but not for real words (five-letter strings: M = 4.01%, SD = 3.08; three-letter strings: M = 4.26%, SD = 2.98), t(19) = 1.13, p = .27.";"For relative changes in pupil size, we obtained a main effect of word familiarity, F(1, 19) = 4.80, p = .04, η p 2 = .20, OP = .55 (pseudowords: M = 5.28%, SD = 4.34; real words: M = 4.13%, SD = 3.00), but not for length, F(1, 19) = 2.67, p = .12, η p 2 = .12, OP = .34 (five-letter strings: M = 4.97%, SD = 3.89; three-letter strings: M = 4.44%, SD = 3.35). We also confirmed the predicted familiarity-by-length interaction, F(1, 19) = 10.57, p = .004, η p 2 = .36, OP = .87, indicating a length effect for pseudowords (five-letter strings: M = 5.93%, SD = 5.06; three-letter strings: M = 4.62%, SD = 3.90), t(19) = -2.48, p = .02, but not for real words (five-letter strings: M = 4.01%, SD = 3.08; three-letter strings: M = 4.26%, SD = 2.98), t(19) = 1.13, p = .27."
"p = .92";"results";"Results";10;3;3;"0956797620958638";"=";0,92;"The interaction between familiarity and length was also significant, F(1, 19) = 13.55, p = .002, η p 2 = .42, OP = .94, because of higher peaks for five-letter pseudowords (M = 17.05%, SD = 8.17) compared with three-letter pseudowords (M = 14.16%, SD = 6.11), t(19) = -3.58, p = .002, but length was not significant in the case of real words (five letters: M = 13.35%, SD = 5.14; three letters: M = 13.31%, SD = 4.73), t(19) = -0.10, p = .92.";"For peak dilation, the main effect of familiarity was again significant, F(1, 19) = 9.89, p = .005, η p 2 = .34, OP = .85 (pseudowords: M = 15.60%, SD = 6.98; real words: M = 13.33%, SD = 4.87), as was length, F(1, 19) = 9.27, p = .007, η p 2 = .33, OP = .82 (five-letter strings: M = 15.20%, SD = 6.44; three-letter strings: M = 13.74%, SD = 5.32). The interaction between familiarity and length was also significant, F(1, 19) = 13.55, p = .002, η p 2 = .42, OP = .94, because of higher peaks for five-letter pseudowords (M = 17.05%, SD = 8.17) compared with three-letter pseudowords (M = 14.16%, SD = 6.11), t(19) = -3.58, p = .002, but length was not significant in the case of real words (five letters: M = 13.35%, SD = 5.14; three letters: M = 13.31%, SD = 4.73), t(19) = -0.10, p = .92. 3 Latency to peak dilation."
"p = .17";"results";"Results";10;4;1;"0956797620958638";"=";0,17;"(M = 1,598 ms, SD = 426), t(19) = -7.07, p < .001, with no significant difference between three-letter and five-letter real words (five letters: M = 1,446 ms, SD = 362; three letters: M = 1,400 ms, SD = 309), t(19) = -1.42, p = .17.";"(M = 1,598 ms, SD = 426), t(19) = -7.07, p < .001, with no significant difference between three-letter and five-letter real words (five letters: M = 1,446 ms, SD = 362; three letters: M = 1,400 ms, SD = 309), t(19) = -1.42, p = .17."
"p = .59";"results";"Results";10;7;2;"0956797620958638";"=";0,59;"For pronunciation accuracy, the main effect for familiarity was significant, F(1, 19) = 18.12, p < .001, η p 2 = .49, OP = .98, but the main effect for length was not, F(1, 19) = 0.30, p = .59, η p 2 = .02, OP = .08.";"Pronunciation accuracy. For pronunciation accuracy, the main effect for familiarity was significant, F(1, 19) = 18.12, p < .001, η p 2 = .49, OP = .98, but the main effect for length was not, F(1, 19) = 0.30, p = .59, η p 2 = .02, OP = .08. The interaction between familiarity and length was nonsignificant as well, F(1, 19) = 0.30, p = .59, η p 2 = .02, OP = .08 (Table 2)."
"p = .59";"results";"Results";10;7;3;"0956797620958638";"=";0,59;"The interaction between familiarity and length was nonsignificant as well, F(1, 19) = 0.30, p = .59, η p 2 = .02, OP = .08 (Table 2).";"For pronunciation accuracy, the main effect for familiarity was significant, F(1, 19) = 18.12, p < .001, η p 2 = .49, OP = .98, but the main effect for length was not, F(1, 19) = 0.30, p = .59, η p 2 = .02, OP = .08. The interaction between familiarity and length was nonsignificant as well, F(1, 19) = 0.30, p = .59, η p 2 = .02, OP = .08 (Table 2)."
"p = .48";"results";"Results";14;2;4;"0956797620958638";"=";0,48;"Follow-up t tests confirmed a significant length effect for pseudowords (five-letter strings: M = 10.83%, SD = 6.95; three-letter strings: M = 8.00%, SD = 4.85), t(29) = -4.18, p < .001, but not for real words (three letters: M = 7.48%, SD = 5.28; five letters: M = 7.96%, SD = 4.65), t(29) = -0.71, p = .48.";"We found a significant main effect for word familiarity, F(1, 29) = 7.96, p = .01, η p 2 = .22, OP = .78 (pseudowords: M = 9.41%, SD = 5.70; real words: M = 7.72%, SD = 4.60); a main effect for length, F(1, 29) = 14.98, p = .001, η p 2 = .34, OP = .96 (five-letter strings: M = 9.39%, SD = 5.31; three-letter strings: M = 7.74%, SD = 4.82); and a significant familiarity-by-length interaction, F(1, 29) = 5.06, p = .03, η p 2 = .15, OP = .59. Follow-up t tests confirmed a significant length effect for pseudowords (five-letter strings: M = 10.83%, SD = 6.95; three-letter strings: M = 8.00%, SD = 4.85), t(29) = -4.18, p < .001, but not for real words (three letters: M = 7.48%, SD = 5.28; five letters: M = 7.96%, SD = 4.65), t(29) = -0.71, p = .48."
"p = .51";"results";"Results";14;3;3;"0956797620958638";"=";0,51;"As before, this interaction resulted from a significant length effect for pseudowords (five-letter strings: M = 19.30%, SD = 10.40; three-letter strings: M = 15.68%, SD = 7.69), t(29) = -4.52, p < .001, but not for real words (three letters: M = 14.67%, SD = 8.29; five letters: M = 15.24%, SD = 7.04), t(29) = -0.67, p = .51.";"For peak dilation, too, ANOVAs indicated significant main effects for both word familiarity, F(1, 29) = 9.39, p = .005, η p 2 = .25, OP = .84 (pseudowords: M = 17.49%, SD = 8.87; real words: M = 14.95%, SD = 7.34), and length, F(1, 29) = 15.78, p < .001, η p 2 = .35, OP = .97 (five-letter strings: M = 17.27%, SD = 8.22; threeletter strings: M = 15.17%, SD = 7.72), as well as a significant familiarity-by-length interaction, F(1, 29) = 5.79, p = .02, η p 2 = .17, OP = .64. As before, this interaction resulted from a significant length effect for pseudowords (five-letter strings: M = 19.30%, SD = 10.40; three-letter strings: M = 15.68%, SD = 7.69), t(29) = -4.52, p < .001, but not for real words (three letters: M = 14.67%, SD = 8.29; five letters: M = 15.24%, SD = 7.04), t(29) = -0.67, p = .51."
