"statement";"label";"corrected"
"Across the experiments, the holistic-processing effect for faces remained constant (Experiment 1a: M = 0.51, SE = 0.18; Experiment 1b: M = 0.50, SE = 0.25; Experiment 2: M = 0.48, SE = 0.16), F(2, 63) = 0.01, p = .993.";1;"Across the experiments, the holistic-processing effect for faces remained constant (Experiment 1a: M = 0.51, SE = 0.18; Experiment 1b: M = 0.50, SE = 0.25; Experiment 2: M = 0.48, SE = 0.16), F(2, 63) = 0.01, p = .993, indicating no significant difference in the holistic-processing effect across the experiments."
"The results showed a significant two-way interaction (see Table 3) indicating that participants in the control condition preferred self-verifying feedback over self-discrepant feedback, F(1, 168) = 19.13, p < .001, Î· p 2 = .10, whereas participants in the experimental condition were equally willing to consider the two types of feedback, F(1, 168) = 0.33, p = .568, Î· p 2 = .002.";1;"The results showed a significant two-way interaction (see Table 3) indicating that participants in the control condition preferred self-verifying feedback over self-discrepant feedback, F(1, 168) = 19.13, p < .001, Î· p 2 = .10, whereas participants in the experimental condition showed no significant difference in their willingness to consider the two types of feedback, F(1, 168) = 0.33, p = .568, Î· p 2 = .002."
"Follow-up analyses showed that there was no Treatment Ã— Expectancy Violation interaction in the subcentral gyrus, F(1, 76) = 0.12, p = .726, Î· p 2 < .01; TPJ, F(1, 76) = 0.27, p = .606, Î· p 2 < .01; or dlPFC, F(1, 76) = 2.30, p = .13, Î· p 2 = .03.";1;"Follow-up analyses showed that there was no significant Treatment Ã— Expectancy Violation interaction in the subcentral gyrus, F(1, 76) = 0.12, p = .726, Î· p 2 < .01; TPJ, F(1, 76) = 0.27, p = .606, Î· p 2 < .01; or a significant interaction in the dlPFC, F(1, 76) = 2.30, p = .13, Î· p 2 = .03."
"Participants of the stress groups (vs. control groups) felt less positive on Day 2, F(3, 89) = 3.27, p = .025, Î· p 2 = .10, but there were no differences between the informed and uninformed stress groups, t(46) = -0.11, p = .915, d = 0.03 (see Table S1 in the Supplemental Material).";1;"Participants of the stress groups (vs. control groups) felt less positive on Day 2, F(3, 89) = 3.27, p = .025, Î· p 2 = .10, but there were no significant differences between the informed and uninformed stress groups, t(46) = -0.11, p = .915, d = 0.03 (see Table S1 in the Supplemental Material)."
"The correlation (Spearman's Ï) between liking ratings and the arcsine-transformed ratios of coefficient choices was not different from zero in either condition (congruent: Ï = .321, p = .126; incongruent: Ï = -.076, p = .725).";1;"The correlation (Spearman's Ï) between liking ratings and the arcsine-transformed ratios of coefficient choices was not significantly different from zero in either condition (congruent: Ï = .321, p = .126; incongruent: Ï = -.076, p = .725)."
"Viewed differently, participants liked both seekers similarly, regardless of their desire to cooperate or compete with opponents, p = .620, d = 0.05.";1;"Viewed differently, participants liked both seekers similarly, regardless of their desire to cooperate or compete with opponents, p = .620, d = 0.05, indicating no significant difference in liking between the two groups."
"Although the PTSD group showed a significant facilitation effect (M = 5.9%), F(1, 15) = 7.525, p = .015, Î· p 2 = .334, and the control group did not (M = 2.8%, n.s.), there was no significant group difference in facilitation, F(1, 30) = 1.215, p = .279, Î· p 2 = .039 (Fig. 3a).";0;"Although the PTSD group showed a significant facilitation effect (M = 5.9%), F(1, 15) = 7.525, p = .015, Î· p 2 = .334, and the control group did not (M = 2.8%, n.s.), the groups did not differ significantly in facilitation, F(1, 30) = 1.215, p = .279, Î· p 2 = .039 (Fig. 3a)."
"It was not, however, associated with the more general aggregated measures of experienced reward (p > .250), nor perceived expresser reward (p > .250).";1;"The association with the more general aggregated measures of experienced reward (p > .250) and perceived expresser reward (p > .250) was not statistically significant."
"Time of day did not interact with type of day (i.e., social isolation vs. baseline) for any of the above momentary state measures (p > .08).";1;"Time of day did not significantly interact with type of day (i.e., social isolation vs. baseline) for any of the above momentary state measures (p > .08)."
"There were no differences in participant proportion of females relative to the overall sample for Profiles 3 (p = .06) and 5 (p = .09; see Fig.";1;"There were no significant differences in participant proportion of females relative to the overall sample for Profiles 3 (p = .06) and 5 (p = .09; see Fig."
"The effect of block was driven by slower responses to fixed penalties than to fixed rewards-pairwise post hoc t(24) = 2.02, p = .027; there was no difference between reward and penalty blocks for the 0-pence conditions, t(24) = 0.79, p = .22.";1;"The effect of block was driven by slower responses to fixed penalties than to fixed rewards-pairwise post hoc t(24) = 2.02, p = .027; there was no significant difference between reward and penalty blocks for the 0-pence conditions, t(24) = 0.79, p = .22."
"Artworks that related to common activities, however, were not associated with higher aesthetic ratings, slope = -0.017, 95% CI = [-0.09, 0.06], t(1558) = -0.46, p = .64, nor were artworks in the mixed class, slope = 0.024, 95% CI = [-0.005, 0.05], t(1555) = 1.6, p = .11.";1;"Artworks that related to common activities, however, were not significantly associated with higher aesthetic ratings, slope = -0.017, 95% CI = [-0.09, 0.06], t(1558) = -0.46, p = .64, nor were artworks in the mixed class, slope = 0.024, 95% CI = [-0.005, 0.05], t(1555) = 1.6, p = .11."
"A 2 (condition: adversarial vs. benevolent) Ã— 2 (valence: positive vs. negative) repeated measures analysis of variance on relative learning rates revealed no significant main effects (p = .57 for condition, p = .84 for valence) but a significant interaction, F(1, 71) = 4.91, p < .05.";0;"A 2 (condition: adversarial vs. benevolent) Ã— 2 (valence: positive vs. negative) repeated measures analysis of variance on relative learning rates revealed no significant main effects (p = .57 for condition, p = .84 for valence), indicating that the main effects of condition and valence were not statistically significant, but a significant interaction was found, F(1, 71) = 4.91, p < .05."
"Cortisol concentrations were comparable at baseline, t(55) = 1.01, p = .317, d = 0.27, but significantly elevated in the stress group relative to the control group both 30 min after the treatment, t(55) = 3.55, p corr = .003, d = 0.94, and 45 min after the treatment, t(55) = 2.52, p corr = .045, d = 0.67 (Table 1).";1;"Cortisol concentrations showed no significant difference at baseline, t(55) = 1.01, p = .317, d = 0.27, but were significantly elevated in the stress group relative to the control group both 30 min after the treatment, t(55) = 3.55, p corr = .003, d = 0.94, and 45 min after the treatment, t(55) = 2.52, p corr = .045, d = 0.67 (Table 1)."
"There was no correlation between number of imagineto-hear errors and CAPS score, r S (1376) = .02, 95% CI = [-.03, .07], p = .461.";1;"There was no significant correlation between number of imagineto-hear errors and CAPS score, r S (1376) = .02, 95% CI = [-.03, .07], p = .461."
"A 2 (Experiment) Ã— 2 (Position) mixed-measure ANOVA showed no main effect of experiment, F(1, 58) = 1.597, p = .21, f = 0.17, a significant main effect of position, F(1, 58) = 43.54, p < .001, f = 0.87, and a significant interaction, F(1, 58) = 4.71, p = .034, f = 0.28.";1;"A 2 (Experiment) × 2 (Position) mixed-measure ANOVA showed no significant main effect of experiment, F(1, 58) = 1.597, p = .21, f = 0.17, a significant main effect of position, F(1, 58) = 43.54, p < .001, f = 0.87, and a significant interaction, F(1, 58) = 4.71, p = .034, f = 0.28."
"The years-of-experience single effect was not significant (Î² = 0.001, 95% CI = [-0.07, 0.07], p = .976).";0;"The years-of-experience single effect was not significant (Î² = 0.001, 95% CI = [-0.07, 0.07], p = .976), indicating that the data do not provide sufficient evidence to reject the null hypothesis of no effect."
"By contrast, leader narcissism levels were not significantly related to follower-perceived leader authority, b = 0.04, 95% CI = [-0.04, 0.13], Î² = 0.10, p = .304, and effectiveness, b = 0.04, 95% CI = [-0.06, 0.14], Î² = 0.08, p = .398.";0;"By contrast, leader narcissism levels were not significantly related to follower-perceived leader authority, b = 0.04, 95% CI = [-0.04, 0.13], β = 0.10, p = .304, and effectiveness, b = 0.04, 95% CI = [-0.06, 0.14], β = 0.08, p = .398, indicating that the relationship between leader narcissism and these outcomes may be negligible, but the data do not provide sufficient evidence to conclude that there is no relationship."
"Similarly, for inverted scenes, categorization accuracy was comparable across high (M = 0.82, SD = 0.14) and low (M = 0.81, SD = 0.85) aesthetic conditions, F(1, 98) = 0.21, p = .647 (high vs. low aesthetic condition difference = .015, 95% CI = [-.051, .082]).";1;"Similarly, for inverted scenes, categorization accuracy did not significantly differ across high (M = 0.82, SD = 0.14) and low (M = 0.81, SD = 0.85) aesthetic conditions, F(1, 98) = 0.21, p = .647 (high vs. low aesthetic condition difference = .015, 95% CI = [-.051, .082])."
"In both-targets blocks, saccade latencies were smaller than in one-target blocks, but did not differ significantly for switch trials (M = 234 ms) and repeat trials (M = 232 ms), t(11) = 0.25, p > .250, Cohen's d = 0.09.";0;"In both-targets blocks, saccade latencies were smaller than in one-target blocks, but did not differ significantly for switch trials (M = 234 ms) and repeat trials (M = 232 ms), t(11) = 0.25, p > .250, Cohen's d = 0.09, indicating that the difference between switch and repeat trials was not statistically significant."
"However, there was no difference between the agreeing-and disagreeing-perspective conditions (d = 0.04, p = .55), 5 although the effect was in the right direction: The benefits of averaging were numerically higher in the disagreeing-perspective condition.";1;"However, there was no significant difference between the agreeing-and disagreeing-perspective conditions (d = 0.04, p = .55), although the effect was in the right direction: The benefits of averaging were numerically higher in the disagreeing-perspective condition."
"The learning bias for the self condition and the learning bias for the stranger condition were not significantly correlated, r(76) = .10, p = .386 (see Fig.";0;"The learning bias for the self condition and the learning bias for the stranger condition were not significantly correlated, r(76) = .10, p = .386, indicating that there was no significant association between the two conditions (see Fig."
"There was no difference between the self-and agreeing-perspective conditions with regard to benefit of averaging (d = 0.03, p = .61).";1;"There was no significant difference between the self-and agreeing-perspective conditions with regard to benefit of averaging (d = 0.03, p = .61)."
"As in the previous studies, we found no correlation between interoceptive accuracy (M = 50.80, SD = 8.4) and the difference in trustworthiness ratings in the diastole-self and the average of the other-hearts conditions (r = -.25, p = .20).";1;"As in the previous studies, we found no significant correlation between interoceptive accuracy (M = 50.80, SD = 8.4) and the difference in trustworthiness ratings in the diastole-self and the average of the other-hearts conditions (r = -.25, p = .20)."
"Study S7 (with French participants) employed a within-subjects design presenting two people as either depressed or not depressed, and it showed that participants did not imagine a person with depression as shorter than a nondepressed one (p = .06, d = 0.13) or more overweight (p = .16, d = 0.10), but they imagined them to be more introverted (p < .001, d = 0.81), less attractive (p < .001, d = 0.60), less successful (p < .001, d = 0.99), and less likely to take care of their looks (p < .001, d = 0.84).";1;"Study S7 (with French participants) employed a within-subjects design presenting two people as either depressed or not depressed, and it showed that participants did not significantly imagine a person with depression as shorter than a nondepressed one (p = .06, d = 0.13) or more overweight (p = .16, d = 0.10), but they did imagine them to be more introverted (p < .001, d = 0.81), less attractive (p < .001, d = 0.60), less successful (p < .001, d = 0.99), and less likely to take care of their looks (p < .001, d = 0.84)."
"Importantly, stress did not modulate the accuracy difference between repeat and switch trials (Condition Ã— Trial Type: p = .192), which provides evidence against the possibility that increased effort aversion under stress was simply caused by a desire to avoid more errors.";1;"Importantly, stress did not significantly modulate the accuracy difference between repeat and switch trials (Condition × Trial Type: p = .192), which does not provide evidence for or against the possibility that increased effort aversion under stress was simply caused by a desire to avoid more errors."
"Neither of the deprived states modulated subjective levels of stress (p > .3) or anxiety (p > .27).";1;"Neither of the deprived states significantly modulated subjective levels of stress (p > .3) or anxiety (p > .27)."
"We found, first of all, that risk preferences derived from the risk task and social preferences derived from the helping task were linearly independent of each other (Spearman's r = -.02, p = .787).";1;"We found, first of all, that risk preferences derived from the risk task and social preferences derived from the helping task were not significantly associated with each other (Spearman's r = -.02, p = .787)."
"Meanwhile, on lossframed trials, there was a significant interaction, b = -4.51, SE = 0.75, z = -6.03, p < .001; participants were less likely to look at the second option if they first fixated a gamble with high expected value, b = -4.31, SE = 0.49, z = -8.74, p < .001, whereas there was no effect of expected value if they first fixated the sure loss, b = 0.20, SE = 0.56, z = 0.35, p = .73.";1;"Meanwhile, on loss-framed trials, there was a significant interaction, b = -4.51, SE = 0.75, z = -6.03, p < .001; participants were less likely to look at the second option if they first fixated a gamble with high expected value, b = -4.31, SE = 0.49, z = -8.74, p < .001, whereas the effect of expected value was not significant if they first fixated the sure loss, b = 0.20, SE = 0.56, z = 0.35, p = .73."
"We also confirmed the predicted familiarity-by-length interaction, F(1, 19) = 10.57, p = .004, Î· p 2 = .36, OP = .87, indicating a length effect for pseudowords (five-letter strings: M = 5.93%, SD = 5.06; three-letter strings: M = 4.62%, SD = 3.90), t(19) = -2.48, p = .02, but not for real words (five-letter strings: M = 4.01%, SD = 3.08; three-letter strings: M = 4.26%, SD = 2.98), t(19) = 1.13, p = .27.";1;"We also confirmed the predicted familiarity-by-length interaction, F(1, 19) = 10.57, p = .004, Î· p 2 = .36, OP = .87, indicating a length effect for pseudowords (five-letter strings: M = 5.93%, SD = 5.06; three-letter strings: M = 4.62%, SD = 3.90), t(19) = -2.48, p = .02, but no significant difference was found for real words (five-letter strings: M = 4.01%, SD = 3.08; three-letter strings: M = 4.26%, SD = 2.98), t(19) = 1.13, p = .27."
"In addition, the absolute impact of losses and gains on ratings of feelings relative to a zero outcome revealed no difference, F(1, 55) = 0.01, p = .92, Î· p 2 = .00018.";1;"In addition, the absolute impact of losses and gains on ratings of feelings relative to a zero outcome revealed no significant difference, F(1, 55) = 0.01, p = .92, Î· p 2 = .00018."
"ANOVAs within blocks revealed that during the beginning of acquisition, IBI did not differ between CS types (p = .559), whereas CS type modulated IBI in the second block of acquisition (p = .023), as shown in Figure 5.";1;"ANOVAs within blocks revealed that during the beginning of acquisition, there was no significant difference in IBI between CS types (p = .559), whereas CS type modulated IBI in the second block of acquisition (p = .023), as shown in Figure 5."
"For âˆ†Î¸ Ë†crit values derived from highversus low-friction trials, values were different from 0Â° in the live-observation group, t(33) = 5.495, p < .001, d = 0.942, and the interaction group, t(31) = 5.339, p < .001, d = 0.851, but not in the video-observation group, t(29) = 1.232, p = .228, d = 0.225.";1;"For âˆ†Î¸ Ë†crit values derived from highversus low-friction trials, values were different from 0Â° in the live-observation group, t(33) = 5.495, p < .001, d = 0.942, and the interaction group, t(31) = 5.339, p < .001, d = 0.851, but there was no significant difference from 0Â° in the video-observation group, t(29) = 1.232, p = .228, d = 0.225."
"First, prior to the intervention (over the first 24 hr after viewing the film: Day 0), we confirmed that the four groups experienced a similar number of intrusive memories, F(3, 68) = 0.16, p = .92 (Fig. 4a).";1;"First, prior to the intervention (over the first 24 hr after viewing the film: Day 0), we found no significant difference between the four groups in the number of intrusive memories, F(3, 68) = 0.16, p = .92 (Fig. 4a)."
"Tukey's HSD tests revealed significant differences between all pairwise positions (all ps < .04) except Position 1 versus Position 5, t( 116) = 1.167, p = .77, Position 2 versus Position 4, t(116) = 1.357, p = .65, and Position 3 versus Position 4, t(116) = -1.479, p = .578.";0;"Tukey's HSD tests revealed significant differences between all pairwise positions (all ps < .04) except Position 1 versus Position 5, t( 116) = 1.167, p = .77, Position 2 versus Position 4, t(116) = 1.357, p = .65, and Position 3 versus Position 4, t(116) = -1.479, p = .578, where the differences were not statistically significant."
"Similarly, in the condition with no-depth control scenes, accuracy did not differ between the template-matching (94.1%, SD = 5.0) and the template-mismatching (94.5%, SD = 5.4) conditions, t(25) = -0.55, p = .584.";1;"Similarly, in the condition with no-depth control scenes, there was no significant difference in accuracy between the template-matching (94.1%, SD = 5.0) and the template-mismatching (94.5%, SD = 5.4) conditions, t(25) = -0.55, p = .584."
"Subsequent simple-slopes analyses showed that, compared with traveling to a destination with looser norms, traveling to a country with tighter norms was associated with lower adaptation for sojourners with low honesty-humility (p < .001) but not for those with high honesty-humility (p = .29).";1;"Subsequent simple-slopes analyses showed that, compared with traveling to a destination with looser norms, traveling to a country with tighter norms was associated with lower adaptation for sojourners with low honesty-humility (p < .001) but the association was not significant for those with high honesty-humility (p = .29)."
"As expected on the basis of previous studies, t tests showed that there were no differences between groups on tests of either verbal, t(50) = 0.93, p = .36, or visual, t(50) = 1.00, p = .32, recognition memory of the film (Table S1 in the Supplemental Material)-this is consistent with the possibility that intrusivememory frequency (diary/IPT intrusion score) was influenced while leaving recognition memory (for facts and scenes in the trauma film) intact.";1;"As expected on the basis of previous studies, t tests showed that there were no significant differences between groups on tests of either verbal, t(50) = 0.93, p = .36, or visual, t(50) = 1.00, p = .32, recognition memory of the film (Table S1 in the Supplemental Material)-this is consistent with the possibility that intrusivememory frequency (diary/IPT intrusion score) was influenced while leaving recognition memory (for facts and scenes in the trauma film) intact."
