"article_id";"doi";"title";"text";"section";"header";"div";"p";"s";"p_comp";"p_value";"machine_statement";"machine_context";"human_statement"
956797619842261;"10.1177/0956797619842261";"Aversive Imagery Causes De Novo Fear Conditioning";"p = .24";"results";"Results";4;3;5;"=";0,24;"Follow-up analyses indicated that these effects were driven by increased acceleration to the aversive cue versus the neutral cue (p = .007) but not between the aversive cue and the no-image cue (p = .24) or the neutral cue and the no-image cue (p = .23).";"2). 2). Follow-up analyses indicated that these effects were driven by increased acceleration to the aversive cue versus the neutral cue (p = .007) but not between the aversive cue and the no-image cue (p = .24) or the neutral cue and the no-image cue (p = .23). Follow-up analyses indicated that these effects were driven by increased acceleration to the aversive cue versus the neutral cue (p = .007) but not between the aversive cue and the no-image cue (p = .24) or the neutral cue and the no-image cue (p = .23). Similarly, for SCR, the main effect of cue type was significant (p = .010). Similarly, for SCR, the main effect of cue type was significant (p = .010).";NA
956797619842261;"10.1177/0956797619842261";"Aversive Imagery Causes De Novo Fear Conditioning";"p = .878";"results";"Results";4;3;8;"=";0,878;"There was no difference between the neutral cue and the no-image cue (p = .878).";"Direct comparisons revealed increased responses to the aversive cue as opposed to the neutral cue during the two acquisition blocks (p = .001; see Fig. 2), as well as to the aversive cue as opposed to the no-image cue (p = .029). There was no difference between the neutral cue and the no-image cue (p = .878).";NA
956797619842261;"10.1177/0956797619842261";"Aversive Imagery Causes De Novo Fear Conditioning";"p = .48";"results";"Responses to CSs.";5;3;2;"=";0,48;"During habituation, the D1 component did not differ as a function of CS type (p = .48).";"Physiological responses. During habituation, the D1 component did not differ as a function of CS type (p = .48). During acquisition, the Block × CS Type ANOVA on the D1 component revealed an interaction of block and CS type (p = .023).";NA
956797619842261;"10.1177/0956797619842261";"Aversive Imagery Causes De Novo Fear Conditioning";"p = .559";"results";"Responses to CSs.";5;3;4;"=";0,559;"ANOVAs within blocks revealed that during the beginning of acquisition, IBI did not differ between CS types (p = .559), whereas CS type modulated IBI in the second block of acquisition (p = .023), as shown in Figure 5.";"During acquisition, the Block × CS Type ANOVA on the D1 component revealed an interaction of block and CS type (p = .023). ANOVAs within blocks revealed that during the beginning of acquisition, IBI did not differ between CS types (p = .559), whereas CS type modulated IBI in the second block of acquisition (p = .023), as shown in Figure 5. As expected (Notterman, Schoenfeld, & Bersh, 1952;Panitz, Hermann, & Mueller, 2015;Sperl et al., 2016), direct comparisons indicated stronger deceleration for the aversive CS+ than the neutral CS+ (14 vs. 4 ms; p = .016).";NA
956797619842261;"10.1177/0956797619842261";"Aversive Imagery Causes De Novo Fear Conditioning";"p = .52";"results";"Results";9;3;3;"=";0,52;"Mirroring the results of Study 1 (see Fig. 2d), follow-up analyses indicated that these effects were driven by a stronger acceleration component to the aversive cue than to the neutral cue (p = .022) and to the aversive cue than to the no-image cue (p = .015) but not to the neutral cue than to the no-image cue (p = .52).";"As in Study 1, the Block × Cue Type ANOVA on the A1 revealed a significant main effect of cue type (p = .013), whereas the same ANOVA on the D1 component during acquisition revealed no main effects or interactions (all ps > .3). Mirroring the results of Study 1 (see Fig. 2d), follow-up analyses indicated that these effects were driven by a stronger acceleration component to the aversive cue than to the neutral cue (p = .022) and to the aversive cue than to the no-image cue (p = .015) but not to the neutral cue than to the no-image cue (p = .52). A Block × Cue Type ANOVA on SCR revealed only a main effect of block (p = .046), which was due to smaller responses in the second block than the first block, and no other significant main effects or interactions (all ps ≥ .309).";NA
956797619842261;"10.1177/0956797619842261";"Aversive Imagery Causes De Novo Fear Conditioning";"p = .742";"results";"Responses to CSs.";10;1;5;"=";0,742;"Post hoc t tests showed increased arousal for the aversive CS+ than for the neutral CS+ (p = .020) and the aversive CS+ than the CS-(p = .021) but not between the neutral CS+ and the CS-(p = .742).";"4). Post hoc t tests showed increased arousal for the aversive CS+ than for the neutral CS+ (p = .020) and the aversive CS+ than the CS-(p = .021) but not between the neutral CS+ and the CS-(p = .742). With regard to the valence ratings, the ANOVA revealed a significant effect of block (p = .033) and a trend for CS type (p = .074).";NA
956797619842261;"10.1177/0956797619842261";"Aversive Imagery Causes De Novo Fear Conditioning";"p = .074";"results";"Responses to CSs.";10;1;6;"=";0,074;"With regard to the valence ratings, the ANOVA revealed a significant effect of block (p = .033) and a trend for CS type (p = .074).";"Post hoc t tests showed increased arousal for the aversive CS+ than for the neutral CS+ (p = .020) and the aversive CS+ than the CS-(p = .021) but not between the neutral CS+ and the CS-(p = .742). With regard to the valence ratings, the ANOVA revealed a significant effect of block (p = .033) and a trend for CS type (p = .074). In line with the arousal ratings and Study 1, exploratory t tests indicated increased unpleasantness of the aversive CS+ compared with the neutral CS+ (p = .030).";NA
956797619842261;"10.1177/0956797619842261";"Aversive Imagery Causes De Novo Fear Conditioning";"p = .330";"results";"Responses to CSs.";10;1;8;"=";0,33;"There were no significant differences between ratings for the aversive CS+ and the CS-(p = .330) or the neutral CS+ and the CS-(p = .170).";"In line with the arousal ratings and Study 1, exploratory t tests indicated increased unpleasantness of the aversive CS+ compared with the neutral CS+ (p = .030). In line with the arousal ratings and Study 1, exploratory t tests indicated increased unpleasantness of the aversive CS+ compared with the neutral CS+ (p = .030). There were no significant differences between ratings for the aversive CS+ and the CS-(p = .330) or the neutral CS+ and the CS-(p = .170). There were no significant differences between ratings for the aversive CS+ and the CS-(p = .330) or the neutral CS+ and the CS-(p = .170).";NA
956797619842261;"10.1177/0956797619842261";"Aversive Imagery Causes De Novo Fear Conditioning";"p = .641";"results";"Responses to CSs.";10;2;1;"=";0,641;"During extinction, the Block (before reinstatement vs. after reinstatement) × CS Type ANOVAs on arousal and valence ratings showed a significant main effect of CS type only for the arousal ratings (p = .004), which was not further modulated by block (p = .641), thus providing no evidence for complete extinction or reinstatement.";"During extinction, the Block (before reinstatement vs. after reinstatement) × CS Type ANOVAs on arousal and valence ratings showed a significant main effect of CS type only for the arousal ratings (p = .004), which was not further modulated by block (p = .641), thus providing no evidence for complete extinction or reinstatement. Similarly, an ANOVA on ratings after the last block of acquisition and the last block of extinction revealed no interactions of block and CS type for the arousal or valence ratings (ps > .6).";NA
956797619842261;"10.1177/0956797619842261";"Aversive Imagery Causes De Novo Fear Conditioning";"p = .070";"results";"Responses to CSs.";10;3;3;"=";0,07;"The Block × CS Type ANOVA on D1 for acquisition revealed a marginally significant interaction of block and CS type (p = .070; see Fig. 4), comparable with the significant effect in Study 1.";"During habituation, there was no effect of CS type in any of the three cardiac components (ps > .32). The Block × CS Type ANOVA on D1 for acquisition revealed a marginally significant interaction of block and CS type (p = .070; see Fig. 4), comparable with the significant effect in Study 1. The overall pattern mirrored the results of Study 1, suggesting marginally higher IBI and relative deceleration to the aversive CS+ and CScompared with the neutral CS+ in the second but not the first block of acquisition (see Fig.";NA
956797619842261;"10.1177/0956797619842261";"Aversive Imagery Causes De Novo Fear Conditioning";"p = .054";"results";"Responses to CSs.";10;4;3;"=";0,054;"Post hoc t tests on the main effect of CS type revealed a significant difference between the aversive CS+ and the CS-(p = .023) and (marginally) between the aversive CS+ and the neutral CS+ (p = .054) but not between the neutral CS+ and the CS-(p = .970).";"The CS Type × Trial ANOVA revealed a main effect of CS type (p = .037) and a main effect of trial (p < .001). The CS Type × Trial ANOVA revealed a main effect of CS type (p = .037) and a main effect of trial (p < .001). Post hoc t tests on the main effect of CS type revealed a significant difference between the aversive CS+ and the CS-(p = .023) and (marginally) between the aversive CS+ and the neutral CS+ (p = .054) but not between the neutral CS+ and the CS-(p = .970). Post hoc t tests on the main effect of CS type revealed a significant difference between the aversive CS+ and the CS-(p = .023) and (marginally) between the aversive CS+ and the neutral CS+ (p = .054) but not between the neutral CS+ and the CS-(p = .970).";NA
956797619842261;"10.1177/0956797619842261";"Aversive Imagery Causes De Novo Fear Conditioning";"p = .084";"results";"Responses to CSs.";10;5;1;"=";0,084;"Trial-wise t tests revealed that startle probes during the aversive CS+ evoked enhanced startle responses relative to the CS-in Trial 3 (p = .043) of the first acquisition block and in Trial 1 (p = .036), Trial 2 (p = .084), Trial 3 (p = .019), and Trial 4 (p = .022) of the second acquisition block and that the aversive CS+ evoked enhanced startle relative to the neutral CS+ in Trial 1 (p = .035), Trial 2 (p = .054), Trial 3 (p = .021), and Trial 4 (p = .001) of the second acquisition block (see Fig.";"Trial-wise t tests revealed that startle probes during the aversive CS+ evoked enhanced startle responses relative to the CS-in Trial 3 (p = .043) of the first acquisition block and in Trial 1 (p = .036), Trial 2 (p = .084), Trial 3 (p = .019), and Trial 4 (p = .022) of the second acquisition block and that the aversive CS+ evoked enhanced startle relative to the neutral CS+ in Trial 1 (p = .035), Trial 2 (p = .054), Trial 3 (p = .021), and Trial 4 (p = .001) of the second acquisition block (see Fig. Trial-wise t tests revealed that startle probes during the aversive CS+ evoked enhanced startle responses relative to the CS-in Trial 3 (p = .043) of the first acquisition block and in Trial 1 (p = .036), Trial 2 (p = .084), Trial 3 (p = .019), and Trial 4 (p = .022) of the second acquisition block and that the aversive CS+ evoked enhanced startle relative to the neutral CS+ in Trial 1 (p = .035), Trial 2 (p = .054), Trial 3 (p = .021), and Trial 4 (p = .001) of the second acquisition block (see Fig. 6). 6).";NA
956797619869905;"10.1177/0956797619869905";"Scenes Modulate Object Processing Before Interacting With Memory Templates";"p = .137";"results";"Experiment 1";10;3;2;"=";0,137;"Unlike RT, accuracy did not significantly differ between these two conditions, t(19) = -1.55, p = .137, suggesting that the increase in performance at the location of the template-matching object was RT specific.";"When reporting the orientation of a target grating, participants were 93.6% accurate (SD = 5.4) when the grating appeared at the location of a template-matching object and 94.7% accurate (SD = 4.4) when it appeared at the location of a template-mismatching object. Unlike RT, accuracy did not significantly differ between these two conditions, t(19) = -1.55, p = .137, suggesting that the increase in performance at the location of the template-matching object was RT specific. At the same time, these data provide no evidence for the existence of a speed/accuracy trade-off.";NA
956797619869905;"10.1177/0956797619869905";"Scenes Modulate Object Processing Before Interacting With Memory Templates";"p = .753";"results";"Experiment 2";11;4;3;"=";0,753;"In the condition with no-depth control scenes, in contrast, there was no difference between nearby and distant objects, t(1633) = -0.31, p = .753, 95% CI for the fixed-effect coefficient = [-6.4%, 4.6%].";"These findings replicate those of Experiment 1. In the condition with no-depth control scenes, in contrast, there was no difference between nearby and distant objects, t(1633) = -0.31, p = .753, 95% CI for the fixed-effect coefficient = [-6.4%, 4.6%]. The interaction between distance and shape was not significant either, t(1633) = 0.45, p = .654, 95% CI for the fixed-effect coefficient = [3.1%, 5.0%].";NA
956797619869905;"10.1177/0956797619869905";"Scenes Modulate Object Processing Before Interacting With Memory Templates";"p = .654";"results";"Experiment 2";11;4;4;"=";0,654;"The interaction between distance and shape was not significant either, t(1633) = 0.45, p = .654, 95% CI for the fixed-effect coefficient = [3.1%, 5.0%].";"In the condition with no-depth control scenes, in contrast, there was no difference between nearby and distant objects, t(1633) = -0.31, p = .753, 95% CI for the fixed-effect coefficient = [-6.4%, 4.6%]. The interaction between distance and shape was not significant either, t(1633) = 0.45, p = .654, 95% CI for the fixed-effect coefficient = [3.1%, 5.0%]. Thus, it appears that the scenes that were chosen for the no-depth control condition indeed did not induce a size illusion.";NA
956797619869905;"10.1177/0956797619869905";"Scenes Modulate Object Processing Before Interacting With Memory Templates";"p = .604";"results";"Main experiment.";12;1;3;"=";0,604;"In Experiment 2, this effect did not depend on whether the small or large object was memorized, as revealed by the absence of an interaction between congruence and template size, t(2885) = 0.52, p = .604, 95% CI for the fixed-effect coefficient = [-6 ms, 11 ms].";"As in Experiment 1, we found that participants were 24 ms faster (95% CI = [16 ms, 32 ms]) at discriminating gratings that appeared at the location of a template-matching object (mean from model fit = 464 ms) compared with a template-mismatching object (588 ms), as indicated by a main effect of congruence, t(2885) = 6.24, p < .001. In Experiment 2, this effect did not depend on whether the small or large object was memorized, as revealed by the absence of an interaction between congruence and template size, t(2885) = 0.52, p = .604, 95% CI for the fixed-effect coefficient = [-6 ms, 11 ms]. Thus, these data replicate the main finding from Experiment 1-that visual objects that match the perceived size of a memory template are favored over mismatching visual objects.";NA
956797619869905;"10.1177/0956797619869905";"Scenes Modulate Object Processing Before Interacting With Memory Templates";"p = .13";"results";"Main experiment.";12;2;2;"=";0,13;"Here, participants were 6 ms slower (95% CI = [-14 ms, 2 ms]) at discriminating gratings that appeared at the location of a template-matching object (478 ms) compared with a template-mismatching object (472 ms), as indicated by the absence of a main effect of congruence, t(2885) = 1.52, p = .13.";"Next, we applied the same LMEM to the condition with no-depth control scenes to investigate whether this effect would persist for scenes that do not induce a size illusion. Here, participants were 6 ms slower (95% CI = [-14 ms, 2 ms]) at discriminating gratings that appeared at the location of a template-matching object (478 ms) compared with a template-mismatching object (472 ms), as indicated by the absence of a main effect of congruence, t(2885) = 1.52, p = .13. The interaction between congruence and template size did not reach significance either, t(2885) = -1.18, p = .237, 95% CI for the fixed-effect coefficient = [-14 ms, 3 ms].";NA
956797619869905;"10.1177/0956797619869905";"Scenes Modulate Object Processing Before Interacting With Memory Templates";"p = .237";"results";"Main experiment.";12;2;3;"=";0,237;"The interaction between congruence and template size did not reach significance either, t(2885) = -1.18, p = .237, 95% CI for the fixed-effect coefficient = [-14 ms, 3 ms].";"Here, participants were 6 ms slower (95% CI = [-14 ms, 2 ms]) at discriminating gratings that appeared at the location of a template-matching object (478 ms) compared with a template-mismatching object (472 ms), as indicated by the absence of a main effect of congruence, t(2885) = 1.52, p = .13. The interaction between congruence and template size did not reach significance either, t(2885) = -1.18, p = .237, 95% CI for the fixed-effect coefficient = [-14 ms, 3 ms]. In sum, when objects are presented in scenes that do not induce a size illusion, the memory-contingent effect on RTs from Experiment 1 does not replicate.";NA
956797619869905;"10.1177/0956797619869905";"Scenes Modulate Object Processing Before Interacting With Memory Templates";"p = .385";"results";"Main experiment.";12;4;2;"=";0,385;"As in Experiment 1, accuracy did not significantly differ between these two conditions, t(25) = -0.89, p = .385.";"In the condition with depth-inducing scenes, participants were 94.2% accurate (SD = 4.9) when reporting the orientation of a target grating appearing at the location of a template-matching object and 95.0% accurate (SD = 5.5) when reporting the orientation of a grating at the location of a template-mismatching object. As in Experiment 1, accuracy did not significantly differ between these two conditions, t(25) = -0.89, p = .385. Similarly, in the condition with no-depth control scenes, accuracy did not differ between the template-matching (94.1%, SD = 5.0) and the template-mismatching (94.5%, SD = 5.4) conditions, t(25) = -0.55, p = .584.";NA
956797619869905;"10.1177/0956797619869905";"Scenes Modulate Object Processing Before Interacting With Memory Templates";"p = .584";"results";"Main experiment.";12;4;3;"=";0,584;"Similarly, in the condition with no-depth control scenes, accuracy did not differ between the template-matching (94.1%, SD = 5.0) and the template-mismatching (94.5%, SD = 5.4) conditions, t(25) = -0.55, p = .584.";"As in Experiment 1, accuracy did not significantly differ between these two conditions, t(25) = -0.89, p = .385. Similarly, in the condition with no-depth control scenes, accuracy did not differ between the template-matching (94.1%, SD = 5.0) and the template-mismatching (94.5%, SD = 5.4) conditions, t(25) = -0.55, p = .584. Generally, we found no evidence for an accuracy-based increase in performance at the location of the template-matching object and no evidence for a speed/accuracy trade-off.";NA
956797619869905;"10.1177/0956797619869905";"Scenes Modulate Object Processing Before Interacting With Memory Templates";"p = .265";"results";"Experiment 3";13;4;4;"=";0,265;"In Experiment 3 (as in Experiment 2), this effect did not depend on whether the small or large object was memorized, as revealed by the absence of an interaction between congruence and template size, t(2904) = 1.12, p = .265, 95% CI for the fixed-effect coefficient = [-14 ms, 4 ms].";"As in Experiment 1, we found that participants were 18 ms faster (95% CI = [11 ms, 26 ms]) at discriminating gratings that appeared at the location of a template-matching object (mean from model fit = 477 ms) than at the location of a template-mismatching object (496 ms), as reflected by a main effect of congruence, t(2904) = 4.78, p < .001. In Experiment 3 (as in Experiment 2), this effect did not depend on whether the small or large object was memorized, as revealed by the absence of an interaction between congruence and template size, t(2904) = 1.12, p = .265, 95% CI for the fixed-effect coefficient = [-14 ms, 4 ms]. Thus, these data replicate the main finding from Experiments 1 and 2 (Fig. 3b) while precluding strategical biases toward the template-matching objects.";NA
956797619869905;"10.1177/0956797619869905";"Scenes Modulate Object Processing Before Interacting With Memory Templates";"p = .524";"results";"Experiment 3";13;5;1;"=";0,524;"As in Experiments 1 and 2, participants' accuracy in reporting the orientation of the target grating did not reliably differ between the template-matching condition (92.4% accurate, SD = 5.0) and the template-mismatching condition (91.7% accurate, SD = 47.2), t(24) = 0.65, p = .524.";"As in Experiments 1 and 2, participants' accuracy in reporting the orientation of the target grating did not reliably differ between the template-matching condition (92.4% accurate, SD = 5.0) and the template-mismatching condition (91.7% accurate, SD = 47.2), t(24) = 0.65, p = .524. Again, we found no evidence for an accuracybased increase in performance at the location of the template-matching object and no evidence for a speed/ accuracy trade-off.";NA
956797620965536;"10.1177/0956797620965536";"Narcissism and Leadership in Children";"p = .156";"method";"Classroom assessment";7;2;1;"=";0,156;"Responses were averaged across items (Cronbach's α = .79; M = 1.29, SD = 0.51), resulting in a normal distribution (skewness = 0.08, SE = 0.13; kurtosis = 0.92, SE = 0.27; Shapiro-Wilk: W = .99, p = .156).";"Responses were averaged across items (Cronbach's α = .79; M = 1.29, SD = 0.51), resulting in a normal distribution (skewness = 0.08, SE = 0.13; kurtosis = 0.92, SE = 0.27; Shapiro-Wilk: W = .99, p = .156). The scale has been validated extensively in prior research, demonstrating good test-retest reliability (rs = .76 and .69 across 2 and 6 months, respectively), convergent validity (e.g., positive correlations with a sense of superiority), discriminant validity (e.g., weak correlations with self-esteem), concurrent validity (e.g., positive correlations with provoked aggression), and predictive validity (e.g., predicting peergroup popularity and bullying over time; Poorthuis et al., 2021;Reijntjes et al., 2016;Thomaes et al., 2008).";NA
956797620965536;"10.1177/0956797620965536";"Narcissism and Leadership in Children";"p = .413";"method";"Data analysis";10;3;3;"=";0,413;"Postfitting examination of residuals using the R package DHARMa (Version 0.2.7; Hartig, 2020) indicated that residual overdispersion had been accounted for (dispersion ratio = 1.00, one-tailed p = .413) and that residuals were distributed normally (Kolmogorov-Smirnov normality test = .05, p = .299).";"Residual overdispersion is common when modeling real-world count data, and it can inflate false-positive rates if left uncontrolled (Hilbe, 2011). Residual overdispersion is common when modeling real-world count data, and it can inflate false-positive rates if left uncontrolled (Hilbe, 2011). Postfitting examination of residuals using the R package DHARMa (Version 0.2.7; Hartig, 2020) indicated that residual overdispersion had been accounted for (dispersion ratio = 1.00, one-tailed p = .413) and that residuals were distributed normally (Kolmogorov-Smirnov normality test = .05, p = .299). Postfitting examination of residuals using the R package DHARMa (Version 0.2.7; Hartig, 2020) indicated that residual overdispersion had been accounted for (dispersion ratio = 1.00, one-tailed p = .413) and that residuals were distributed normally (Kolmogorov-Smirnov normality test = .05, p = .299).";NA
956797620965536;"10.1177/0956797620965536";"Narcissism and Leadership in Children";"p = .065";"results";"Preliminary analyses";12;2;3;"=";0,065;"There was a positive but nonsignificant association between group performance and coded overall leadership functioning, OR = 1.65, b = 0.50, p = .065.";"Supporting the validity of the group task, results showed that groups performed better (i.e., were more likely to select the best candidate) when their leader displayed more coded leadership behavior, OR = 1.13, b = 0.12, p = .005, and when their leader exchanged more unshared information, OR = 1.19, b = 0.17, p < .001. There was a positive but nonsignificant association between group performance and coded overall leadership functioning, OR = 1.65, b = 0.50, p = .065. Even though groups were not informed whether they had selected the best candidate, leaders were rated as more effective by their followers in groups that chose the best candidate (M = 2.25, SD = 0.47) than in groups that did not (M = 1.96, SD = 0.56), t(104) = 2.42, p = .017, d = 0.47.";NA
956797620965536;"10.1177/0956797620965536";"Narcissism and Leadership in Children";"p = .304";"results";"Confirmatory analyses";13;2;3;"=";0,304;"By contrast, leader narcissism levels were not significantly related to follower-perceived leader authority, b = 0.04, 95% CI = [-0.04, 0.13], β = 0.10, p = .304, and effectiveness, b = 0.04, 95% CI = [-0.06, 0.14], β = 0.08, p = .398.";"Leader narcissism levels were positively related to self-perceived leader authority, b = 0.11, 95% CI = [0.03, 0.19], β = 0.25, p = .010, and effectiveness, b = 0.11, 95% CI = [0.01, 0.44], β = 0.20, p = .042. Leader narcissism levels were positively related to self-perceived leader authority, b = 0.11, 95% CI = [0.03, 0.19], β = 0.25, p = .010, and effectiveness, b = 0.11, 95% CI = [0.01, 0.44], β = 0.20, p = .042. By contrast, leader narcissism levels were not significantly related to follower-perceived leader authority, b = 0.04, 95% CI = [-0.04, 0.13], β = 0.10, p = .304, and effectiveness, b = 0.04, 95% CI = [-0.06, 0.14], β = 0.08, p = .398. By contrast, leader narcissism levels were not significantly related to follower-perceived leader authority, b = 0.04, 95% CI = [-0.04, 0.13], β = 0.10, p = .304, and effectiveness, b = 0.04, 95% CI = [-0.06, 0.14], β = 0.08, p = .398. Thus, in a leadership role, children with higher narcissism levels perceived themselves as more authoritarian and more effective leaders, but their followers were not significantly inclined to perceive them as such. Thus, in a leadership role, children with higher narcissism levels perceived themselves as more authoritarian and more effective leaders, but their followers were not significantly inclined to perceive them as such.";NA
956797620965536;"10.1177/0956797620965536";"Narcissism and Leadership in Children";"p = .317";"results";"Confirmatory analyses";13;3;1;"=";0,317;"Leader narcissism levels were not significantly related to future leader preference, either from the leader's perspective, b = 0.07, 95% CI = [-0.07, 0.22], β = 0.10, p = .317, or from the followers' perspective, b = 0.01, 95% CI = [-0.10, 0.13], β = 0.02, p = .812.";"Leader narcissism levels were not significantly related to future leader preference, either from the leader's perspective, b = 0.07, 95% CI = [-0.07, 0.22], β = 0.10, p = .317, or from the followers' perspective, b = 0.01, 95% CI = [-0.10, 0.13], β = 0.02, p = .812. Leader narcissism levels were not significantly related to future leader preference, either from the leader's perspective, b = 0.07, 95% CI = [-0.07, 0.22], β = 0.10, p = .317, or from the followers' perspective, b = 0.01, 95% CI = [-0.10, 0.13], β = 0.02, p = .812. Leader narcissism levels also did not significantly predict the odds that a group would arrive at the correct decision, OR = 1.03, b = 0.03, 95% CI = [-0.38, 0.44], p = .898. Leader narcissism levels also did not significantly predict the odds that a group would arrive at the correct decision, OR = 1.03, b = 0.03, 95% CI = [-0.38, 0.44], p = .898.";NA
956797620965536;"10.1177/0956797620965536";"Narcissism and Leadership in Children";"p = .898";"results";"Confirmatory analyses";13;3;2;"=";0,898;"Leader narcissism levels also did not significantly predict the odds that a group would arrive at the correct decision, OR = 1.03, b = 0.03, 95% CI = [-0.38, 0.44], p = .898.";"Leader narcissism levels were not significantly related to future leader preference, either from the leader's perspective, b = 0.07, 95% CI = [-0.07, 0.22], β = 0.10, p = .317, or from the followers' perspective, b = 0.01, 95% CI = [-0.10, 0.13], β = 0.02, p = .812. Leader narcissism levels also did not significantly predict the odds that a group would arrive at the correct decision, OR = 1.03, b = 0.03, 95% CI = [-0.38, 0.44], p = .898. Thus, in a leadership role, children with higher narcissism levels did not differ significantly from other leaders in how much leadership behavior they displayed or how their group performed.";NA
956797620965536;"10.1177/0956797620965536";"Narcissism and Leadership in Children";"p = .141";"results";"Exploratory analyses";14;1;4;"=";0,141;"Replicating prior work in adults (Campbell, Rudich, & Sedikides, 2002), our results showed that narcissism levels were positively related to agentic traits, r(329) = .58, p < .001, but were not significantly related to communal traits, r(329) = .08, p = .141.";"As part of the classroom questionnaire, children rated themselves on agentic traits (smart, popular, good-looking, funny, self-confident) and communal traits (honest, caring, trustworthy, loyal). Replicating prior work in adults (Campbell, Rudich, & Sedikides, 2002), our results showed that narcissism levels were positively related to agentic traits, r(329) = .58, p < .001, but were not significantly related to communal traits, r(329) = .08, p = .141. We then examined whether agentic traits mediated the associations of narcissism levels with leadership emergence and functioning (see the Supplemental Material).";NA
956797620965536;"10.1177/0956797620965536";"Narcissism and Leadership in Children";"p = .923";"annex";"Supplemental Material";23;1;3;"=";0,923;"Group-level information exchange was not significantly related to leader narcissism levels-shared information: r(105) = .01, p = .923, unshared information r(105) = .08, p = .415-but group-level exchange of unshared information predicted better group performance, b = 0.06, 95% CI = [0.03, 0.10], OR = 1.06, p < .001.";"We also examined how often all group members exchanged shared information (M = 27.93 times, SD = 15.95) and unshared information (M = 27.47 times, SD = 16.40). We also examined how often all group members exchanged shared information (M = 27.93 times, SD = 15.95) and unshared information (M = 27.47 times, SD = 16.40). Group-level information exchange was not significantly related to leader narcissism levels-shared information: r(105) = .01, p = .923, unshared information r(105) = .08, p = .415-but group-level exchange of unshared information predicted better group performance, b = 0.06, 95% CI = [0.03, 0.10], OR = 1.06, p < .001. Group-level information exchange was not significantly related to leader narcissism levels-shared information: r(105) = .01, p = .923, unshared information r(105) = .08, p = .415-but group-level exchange of unshared information predicted better group performance, b = 0.06, 95% CI = [0.03, 0.10], OR = 1.06, p < .001.";NA
956797620965536;"10.1177/0956797620965536";"Narcissism and Leadership in Children";"p = .492";"fig";NA;0;NA;2;"=";0,492;"Leader narcissism levels were not significantly related to coded leadership behavior, b = 0.34, 95% CI = [-0.64, 1.33], β = 0.07, p = .492; coded overall leadership functioning, b = 0.02, 95% CI = [-0.14, 0.17], β = 0.02, p = .832; leader exchange of shared information, b = 0.44, 95% CI = [-0.80, 1.68], β = 0.07, p = .479; or leader exchange of unshared information, b = 0.35, 95% CI = [-0.72, 1.43], β = 0.06, p = .519.";"Actual leadership functioning. Actual leadership functioning. Actual leadership functioning. Actual leadership functioning. Leader narcissism levels were not significantly related to coded leadership behavior, b = 0.34, 95% CI = [-0.64, 1.33], β = 0.07, p = .492; coded overall leadership functioning, b = 0.02, 95% CI = [-0.14, 0.17], β = 0.02, p = .832; leader exchange of shared information, b = 0.44, 95% CI = [-0.80, 1.68], β = 0.07, p = .479; or leader exchange of unshared information, b = 0.35, 95% CI = [-0.72, 1.43], β = 0.06, p = .519. Leader narcissism levels were not significantly related to coded leadership behavior, b = 0.34, 95% CI = [-0.64, 1.33], β = 0.07, p = .492; coded overall leadership functioning, b = 0.02, 95% CI = [-0.14, 0.17], β = 0.02, p = .832; leader exchange of shared information, b = 0.44, 95% CI = [-0.80, 1.68], β = 0.07, p = .479; or leader exchange of unshared information, b = 0.35, 95% CI = [-0.72, 1.43], β = 0.06, p = .519. Leader narcissism levels were not significantly related to coded leadership behavior, b = 0.34, 95% CI = [-0.64, 1.33], β = 0.07, p = .492; coded overall leadership functioning, b = 0.02, 95% CI = [-0.14, 0.17], β = 0.02, p = .832; leader exchange of shared information, b = 0.44, 95% CI = [-0.80, 1.68], β = 0.07, p = .479; or leader exchange of unshared information, b = 0.35, 95% CI = [-0.72, 1.43], β = 0.06, p = .519. Leader narcissism levels were not significantly related to coded leadership behavior, b = 0.34, 95% CI = [-0.64, 1.33], β = 0.07, p = .492; coded overall leadership functioning, b = 0.02, 95% CI = [-0.14, 0.17], β = 0.02, p = .832; leader exchange of shared information, b = 0.44, 95% CI = [-0.80, 1.68], β = 0.07, p = .479; or leader exchange of unshared information, b = 0.35, 95% CI = [-0.72, 1.43], β = 0.06, p = .519. 1 1 1 1";NA
956797620984464;"10.1177/0956797620984464";"The Foreground Bias: Initial Scene Representations Across the Depth Plane";"p = .692";"results";"Results";8;3;1;"=";0,692;"Accordingly, we found no difference in responses between the foreground and background targets for either the 50-ms duration, t(35) = 0.40, p = .692, d = 0.07, or the 100-ms duration, t(35) = 1.21, p = .233, d = 0.25.";"Accordingly, we found no difference in responses between the foreground and background targets for either the 50-ms duration, t(35) = 0.40, p = .692, d = 0.07, or the 100-ms duration, t(35) = 1.21, p = .233, d = 0.25. Accordingly, we found no difference in responses between the foreground and background targets for either the 50-ms duration, t(35) = 0.40, p = .692, d = 0.07, or the 100-ms duration, t(35) = 1.21, p = .233, d = 0.25. This was expected because regardless of whether the foreground or background was initially used for the interpretation, the response would be the same. This was expected because regardless of whether the foreground or background was initially used for the interpretation, the response would be the same.";NA
